sid,season,name,issued_time,tcws_1,tcws_2,tcws_3,tcws_4,tcws_5
24-TC01,2024,AGHON,2024-05-24 05:00:00,Eastern Samar,,,,
24-TC01,2024,AGHON,2024-05-24 11:00:00,Surigao Del Sur; Southern Leyte; Camarines Sur; Catanduanes; Leyte,,,,
24-TC01,2024,AGHON,2024-05-24 14:00:00,Southern Leyte; Biliran; Masbate; Leyte,,,,
24-TC01,2024,AGHON,2024-05-24 17:00:00,Quezon; Bohol,,,,
24-TC01,2024,AGHON,2024-05-24 20:00:00,Camarines Sur; Catanduanes; Sorsogon; Albay; Bohol,,,,
24-TC01,2024,AGHON,2024-05-24 23:00:00,Agusan Del Sur; Camarines Sur; Bohol,,,,
24-TC01,2024,AGHON,2024-05-25 02:00:00,Camarines Sur; Bohol,,,,
24-TC01,2024,AGHON,2024-05-25 05:00:00,Romblon; Quezon,,,,
24-TC01,2024,AGHON,2024-05-25 08:00:00,Romblon,,,,
24-TC01,2024,AGHON,2024-05-25 11:00:00,Laguna; Leyte,,,,
24-TC01,2024,AGHON,2024-05-25 14:00:00,Oriental Mindoro; Marinduque; Laguna; Rizal,,,,
24-TC01,2024,AGHON,2024-05-25 17:00:00,NCR; Batangas,,,,
24-TC01,2024,AGHON,2024-05-25 20:00:00,Batangas,,,,
24-TC01,2024,AGHON,2024-05-25 23:00:00,NCR; Batangas,,,,
24-TC01,2024,AGHON,2024-05-26 02:00:00,NCR; Batangas,,,,
24-TC01,2024,AGHON,2024-05-26 05:00:00,NCR; Pampanga; Bulacan; Cavite; Laguna; Quezon; Rizal,,,,
24-TC01,2024,AGHON,2024-05-26 08:00:00,NCR; Pampanga; Bulacan; Cavite; Quezon,Batangas; Laguna; Rizal,,,
24-TC01,2024,AGHON,2024-05-26 11:00:00,Pampanga; Aurora,Batangas; Laguna,,,
24-TC01,2024,AGHON,2024-05-26 17:00:00,Pampanga; Bataan,Batangas,,,
24-TC01,2024,AGHON,2024-05-26 20:00:00,Pampanga; Bataan,NCR; Batangas; Laguna,,,
24-TC01,2024,AGHON,2024-05-26 23:00:00,Pampanga,Camarines Norte; Quezon,,,
24-TC01,2024,AGHON,2024-05-27 02:00:00,NCR; Bulacan; Cavite; Laguna; Rizal,Aurora; Quezon,,,
24-TC01,2024,AGHON,2024-05-27 05:00:00,Bulacan; Rizal,Aurora,,,
24-TC01,2024,AGHON,2024-05-27 08:00:00,Nueva Vizcaya; Quirino; Quezon,Isabela; Aurora,,,
24-TC01,2024,AGHON,2024-05-27 11:00:00,Nueva Vizcaya; Quirino; Quezon,Isabela; Aurora,,,
24-TC01,2024,AGHON,2024-05-27 17:00:00,Aurora; Quezon,,,,
24-TC01,2024,AGHON,2024-05-27 23:00:00,Isabela; Aurora,,,,
24-TC01,2024,AGHON,2024-05-28 05:00:00,,,,,
24-TC01,2024,AGHON,2024-05-28 11:00:00,,,,,
24-TC01,2024,AGHON,2024-05-28 17:00:00,,,,,
24-TC01,2024,AGHON,2024-05-28 23:00:00,,,,,
